SDSS_dr8objid	GZ_dr8objid
1237652946923356305	1237652946923356305
1237652947455836236	1237652947455836236
1237652947457998886	1237652947457998886
1237652947988250783	1237652947988250783
1237652947989364795	1237652947989364795
1237652947989954668	1237652947989954668
1237652947992248435	1237652947992248435
1237652947997229159	1237652947997229159
1237652948525252761	1237652948525252761
1237652948531216493	1237652948531216493
1237652949068087416	1237652949068087416
null	1237653007583674919
null	1237653009194615150
1237656893458415884	1237653011343737093
1237652599576920252	1237653437082370147
1237652599040508004	1237653440836862056
1237653595459223654	1237653440840466561
1237649961915580531	1237653470907334744
1237649962451075194	1237653471442829323
1237649963522981896	1237653472514670623
1237649961913942054	1237653500970795150
1237654627864347047	1237653586333860148
1237653587403866580	1237653587403866580
1237653587408060429	1237653587408060429
1237653587943358688	1237653587943358688
1237653587944210853	1237653587944210853
1237653588477411643	1237653588477411643
1237653588481605748	1237653588481605748
1237653588481605800	1237653588481605800
1237653612644466896	1237653612644466896
1237653612648202378	1237653612648202378
1237653614255145094	1237653614255145094
1237653614260322499	1237653614260322499
1237651249877024864	1237653614795030552
1237653616399286316	1237653616399286316
1237653616400072787	1237653616400072787
1237653618008064092	1237653618008064092
1237653622836166693	1237653622836166693
1237649953326104599	1237653651302711312
1237649953327415416	1237653651304022172
1237649953330430105	1237653651307036853
1237653651837616313	1237653651837616313
1237649953863368738	1237653651839975466
1237649953866449177	1237653651843055846
1237649954944123062	1237653652920729794
1237653664714129943	1237653664714129943
1237653664719831241	1237653664719831241
1237653665259192495	1237653665259192495
1237654028715294797	1237654028715294797
1237654029254787278	1237654029254787278
1237654029256687831	1237654029256687831
1237654029787594866	1237654029787594866
1237654029790412989	1237654029790412989
1237654030325973054	1237654030325973054
1237654030326759589	1237654030326759589
1237654030328070394	1237654030328070394
1237654030329708673	1237654030329708673
1237654030862712983	1237654030862712983
1237654030865989844	1237654030865989844
1237654031401877560	1237654031401877560
1237654031403712563	1237654031403712563
null	1237654329359204526
1237654638597505179	1237654342253412499
1237654638597636184	1237654342253478025
1237654381439746095	1237654381439746095
1237654381979828422	1237654381979828422
1237653617469489222	1237654381982711872
1237654382512111754	1237654382512111754
1237654382514405566	1237654382514405566
