name,objID,ra,dec,run,rerun,camcol,field,rowC,colC,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
1237655370899914847_r,5.88011E+17,190.9808182,63.0550754,2304,41,5,216,115.527672,518.097046,GALAXY,17.984169,16.939056,16.595865,16.337706,16.200882,18.104786,17.221386,16.988483,16.776541,16.682707
1237655370900045857_r,5.88011E+17,191.7770572,63.03473307,2304,41,5,218,677.370789,657.316162,GALAXY,18.428207,17.444748,17.000362,16.690668,16.572235,18.207836,17.335663,16.952877,16.719347,16.806894
1237655371432067234_r,5.88011E+17,167.3651129,62.47835567,2298,41,6,75,259.896606,332.847137,GALAXY,18.748028,17.505938,16.846796,16.461916,16.179976,18.472281,17.368393,16.758595,16.407349,16.169245
1237655371439669380_r,5.88011E+17,205.2480073,62.08810324,2304,41,6,260,406.581024,134.064377,GALAXY,18.136784,16.727242,16.053797,15.666224,15.409634,18.343521,16.641724,16.029455,15.691554,15.526476
1237655371443142863_r,5.88011E+17,220.1789946,58.81903359,2304,41,6,313,1310.63843,759.472839,GALAXY,18.372597,17.149725,16.458187,16.041195,15.781412,18.434263,17.219465,16.568171,16.191444,15.978557
1237655373578043556_r,5.8773E+17,255.5741742,31.48124125,2305,40,2,121,1002.38177,333.209991,GALAXY,18.185139,16.969721,16.48295,16.198606,16.137285,18.134329,17.014002,16.559528,16.369181,16.828009
1237655374113210486_r,5.8773E+17,253.4392465,34.99650836,2305,40,3,95,805.742798,816.48468,GALAXY,19.438072,17.526196,16.544878,16.086329,15.767883,20.063091,17.410671,16.544205,16.180807,15.992131
1237655374114128350_r,5.8773E+17,254.9526979,33.24525129,2305,40,3,109,1319.3407,1361.07764,GALAXY,18.933426,17.035009,16.074926,15.625167,15.300469,18.70112,17.054552,16.152605,15.727625,15.440518
1237655374114193891_r,5.8773E+17,254.9386906,33.0871381,2305,40,3,110,1097.06226,477.446472,GALAXY,18.462812,16.968292,16.346075,15.985779,15.79461,18.300856,16.9608,16.400057,16.124847,16.137457
1237655374115373578_r,5.8773E+17,256.7035847,30.82027221,2305,40,3,128,1296.47192,630.119019,GALAXY,18.579144,17.1511,16.616087,16.315086,16.188435,19.009489,17.194773,16.66736,16.520973,16.495853
1237655374647787585_r,5.8773E+17,250.1632432,39.59363441,2305,40,4,60,658.491455,1892.85315,GALAXY,18.833992,17.468975,16.882164,16.503023,16.25033,19.098324,17.503088,16.97061,16.597328,16.380201
1237655374647787859_r,5.8773E+17,250.0510849,39.47284631,2305,40,4,60,1075.26123,608.050232,GALAXY,19.105751,17.568102,16.705992,16.221003,15.905388,18.989998,17.408514,16.609434,16.168257,15.89338
1237655374647918852_r,5.8773E+17,250.2449458,39.33184172,2305,40,4,62,193.203125,943.444824,GALAXY,18.805189,17.418707,16.745836,16.356937,16.077808,18.71484,17.311279,16.741488,16.370085,16.181164
1237655374647918862_r,5.8773E+17,250.2680211,39.33155407,2305,40,4,62,291.406952,1072.64209,GALAXY,17.750128,16.535345,16.12215,15.923421,15.910595,18.187485,16.505573,16.168344,15.996175,16.403744
1237655448734334994_r,5.88009E+17,178.4556658,63.20203452,1896,41,6,148,616.841614,183.373581,GALAXY,18.090454,16.715496,16.120405,15.800974,15.596644,18.275877,16.700716,16.182396,15.905341,15.790767
1237655463233913022_r,5.88011E+17,194.8939755,61.07433332,2326,41,1,97,1166.06738,1859.69739,GALAXY,18.94453,17.661499,16.984034,16.588392,16.415592,19.005077,17.656994,17.061556,16.716732,16.541117
1237655463235092744_r,5.88011E+17,200.2690467,60.44110904,2326,41,1,115,1199.95496,826.983765,GALAXY,18.708439,17.310457,16.666363,16.301571,16.054403,18.581665,17.338703,16.711554,16.390373,16.157978
1237655463236468888_r,5.88011E+17,206.2652977,59.65806802,2326,41,1,136,736.424377,1558.90015,GALAXY,18.411577,17.125816,16.465919,16.069857,15.80056,18.412243,17.125513,16.473612,16.141027,15.85529
1237655463237910698_r,5.88011E+17,212.2742227,58.45107651,2326,41,1,158,946.303894,1589.46606,GALAXY,18.611542,17.275745,16.630924,16.26759,16.062384,18.564342,17.259167,16.646322,16.309509,16.210993
1237655463771177092_r,5.88011E+17,196.6641043,61.26315668,2326,41,2,103,371.577057,1023.60309,GALAXY,19.595655,17.429197,16.319889,15.81142,15.430358,19.423553,17.491051,16.580118,16.108353,15.860117
